MLS #,Cat,Status,Address,City,County,Building Units Total,Sub Type,Status Contractual Search Date,List Office Name,Current Price
PAPH2104506,MUL,ACT,7631 Algon Ave,Philadelphia,"Philadelphia, PA",2,Other,4/12/2022,RE/MAX Affiliates (REMAXAFG),"$399,900 "
PAPH2103164,MUL,ACT,5419 N 5th St,Philadelphia,"Philadelphia, PA",2,Other,4/10/2022,Keller Williams Philadelphia (KELWLMCC),"$249,999 "
PAPH2098774,MUL,ACT,1518 E Passyunk Ave,Philadelphia,"Philadelphia, PA",4,Other,4/14/2022,Keller Williams Philly (55962),"$999,999 "
PAPH2102216,MUL,ACT,5136 N 12th St,Philadelphia,"Philadelphia, PA",4,Quadruplex,4/7/2022,Simple Choice Realty (SMPLCHCE),"$374,900 "
PAPH2100438,MUL,ACT,727 S 2nd St,Philadelphia,"Philadelphia, PA",4,Other,4/1/2022,Realty Mark Associates-CC (RLTYMKCC),"$2,000,000 "
PAPH2099080,MUL,ACT,1214 N 5th St,Philadelphia,"Philadelphia, PA",4,Quadruplex,3/31/2022,RE/MAX @ HOME (RM-ATHMP),"$925,000 "
PAPH2099564,MUL,ACT,905-909 Christian St,Philadelphia,"Philadelphia, PA",4,Other,3/31/2022,RE/MAX One Realty - TCDT (REMAXPLA),"$1,499,900 "
PAPH2090130,MUL,ACT,5501-9 Walnut St,Philadelphia,"Philadelphia, PA",1,Other,3/29/2022,Ergo Real Estate Company (55617),"$1,000,000 "
PAPH2098624,MUL,ACT,5217-1/2 Warren St,Philadelphia,"Philadelphia, PA",4,Other,3/28/2022,"Frink Realty, LLC (FRINK1)","$140,000 "
PAPH2097818,MUL,ACT,1232 N Carlisle St,Philadelphia,"Philadelphia, PA",3,Other,3/25/2022,Coldwell Banker Hearthside Realtors-Collegeville (CBHS-CO),"$739,900 "
PAPH2097816,MUL,ACT,1224 N Carlisle St,Philadelphia,"Philadelphia, PA",3,Other,3/25/2022,Coldwell Banker Hearthside Realtors-Collegeville (CBHS-CO),"$724,900 "
PAPH2097812,MUL,ACT,1222 N Carlisle St,Philadelphia,"Philadelphia, PA",3,Other,3/25/2022,Coldwell Banker Hearthside Realtors-Collegeville (CBHS-CO),"$724,900 "
