MLS #,Cat,Status,Address,City,County,Building Units Total,Sub Type,Status Contractual Search Date,List Office Name,Current Price
PAPH2151046,MUL,ACT,1608 W Flora St,Philadelphia,"Philadelphia, PA",1,Other,8/17/2022,Next Home Consultants (5STONERE),"$130,000 "
PADE2032426,MUL,ACT,100 Ashby Rd,Upper Darby,"Delaware, PA",4,Other,8/16/2022,"Long & Foster Real Estate, Inc. (LF-MED)","$550,000 "
PAPH2150592,MUL,ACT,113 W Maplewood Ave,Philadelphia,"Philadelphia, PA",4,Quadruplex,8/16/2022,"EXP Realty, LLC (EXPREALP)","$339,000 "
PAMC2049272,MUL,ACT,412 W Marshall St,Norristown,"Montgomery, PA",1,Other,8/15/2022,"EXP Realty, LLC (EXPREALP)","$10,100,000 "
PAPH2150208,MUL,ACT,1935-37 S Bancroft St,Philadelphia,"Philadelphia, PA",2,Other,8/15/2022,BHHS Fox & Roach-Center City Walnut (61039),"$750,000 "
PAMC2048692,MUL,ACT,900 N Park Ave,Worcester,"Montgomery, PA",1,Quadruplex,8/29/2022,Keller Williams Real Estate-Blue Bell (KELWLMBB),"$1,050,000 "
PAMC2048770,MUL,ACT,915 Jenkintown Rd,Elkins Park,"Montgomery, PA",1,Other,8/15/2022,"EXP Realty, LLC (EXPREALJ)","$499,900 "
PAPH2149870,MUL,ACT,5725 N Park Ave,Philadelphia,"Philadelphia, PA",4,Quadruplex,9/2/2022,"Frink Realty, LLC (FRINK1)","$385,000 "
PABU2032474,MUL,ACT,231 Washington St,Morrisville,"Bucks, PA",1,Other,8/16/2022,BHHS Fox & Roach-Southampton (61036),"$600,000 "
PAPH2148900,MUL,ACT,111-17 Earp St,Philadelphia,"Philadelphia, PA",1,Other,8/10/2022,Keller Williams Realty - Cherry Hill (KELWLM-M),"$900,000 "
PAPH2148748,MUL,ACT,2127 E Clearfield St,Philadelphia,"Philadelphia, PA",4,Quadruplex,8/10/2022,Re/Max One Realty (RMEST-FE),"$299,900 "
PAPH2148810,MUL,ACT,2129 E Clearfield St,Philadelphia,"Philadelphia, PA",4,Quadruplex,8/10/2022,Re/Max One Realty (RMEST-FE),"$299,900 "
PAPH2147952,MUL,ACT,1851 E Cambria St,Philadelphia,"Philadelphia, PA",2,Other,8/10/2022,Re/Max One Realty (RMEST-FE),"$349,900 "
PAPH2146326,MUL,ACT,1853 E Cambria St,Philadelphia,"Philadelphia, PA",4,Other,8/10/2022,Re/Max One Realty (RMEST-FE),"$349,900 "
PABU2033618,MUL,ACT,457 Mill St,Bristol,"Bucks, PA",4,Quadruplex,8/8/2022,Keller Williams Real Estate-Langhorne (KELWLML),"$849,900 "
PAPH2147018,MUL,ACT,4100 N Reese St,Philadelphia,"Philadelphia, PA",1,Quadruplex,8/5/2022,RE/MAX Affiliates (RMAFFIL),"$169,900 "
PAPH2146260,MUL,ACT,3717 Frankford Ave,Philadelphia,"Philadelphia, PA",4,Other,8/3/2022,Premium Realty Group Inc (TCZHANG),"$875,000 "
PADE2031176,MUL,ACT,306 S 4th St,Darby,"Delaware, PA",1,Quadruplex,8/1/2022,"EXP Realty, LLC (EXPREALC)","$424,900 "
PAPH2143666,MUL,ACT,6930-32 Torresdale Ave,Philadelphia,"Philadelphia, PA",4,Other,7/27/2022,Keller Williams Real Estate - Newtown (55529),"$825,000 "
PAPH2143534,MUL,ACT,1626 S 56th St,Philadelphia,"Philadelphia, PA",2,Other,7/26/2022,RE/MAX Keystone (RMKYSTN),"$539,999 "
PAPH2143414,MUL,ACT,7319-25 Buist Ave,Philadelphia,"Philadelphia, PA",3,Other,7/26/2022,BHHS Fox&Roach-Newtown Square (61032),"$465,000 "
PAPH2141712,MUL,ACT,1425 Jackson St,Philadelphia,"Philadelphia, PA",4,Quadruplex,8/2/2022,"Compass Pennsylvania, LLC (COMPASS12)","$775,000 "
PAPH2143168,MUL,ACT,5300 Walnut St,Philadelphia,"Philadelphia, PA",4,Quadruplex,7/25/2022,Century 21 Forrester Real Estate (C21FOR),"$1,100,000 "
PAPH2142480,MUL,ACT,1928-32 N 31st St,Philadelphia,"Philadelphia, PA",2,Other,7/20/2022,RE/MAX Affiliates (RMAFFIL),"$979,900 "
PAPH2142286,MUL,ACT,744 W Ritner St,Philadelphia,"Philadelphia, PA",2,Other,7/22/2022,GE21 Realty (GE21),"$429,000 "
PAPH2141742,MUL,ACT,3815 Wallace St,Philadelphia,"Philadelphia, PA",4,Quadruplex,7/21/2022,"Compass Pennsylvania, LLC (COMPASS1)","$825,000 "
PAPH2141756,MUL,ACT,3817 Wallace St,Philadelphia,"Philadelphia, PA",4,Quadruplex,7/21/2022,"Compass Pennsylvania, LLC (COMPASS1)","$825,000 "
PAPH2141770,MUL,ACT,5700 W Oxford St,Philadelphia,"Philadelphia, PA",4,Quadruplex,7/21/2022,"TCS Management, LLC (55728)","$199,900 "
PAMC2046034,MUL,ACT,816 N Charlotte St,Pottstown,"Montgomery, PA",2,Other,7/18/2022,United Real Estate (UNTDRE),"$475,000 "
PAMC2046110,MUL,ACT,233 Cottage Ave,Horsham,"Montgomery, PA",4,Quadruplex,7/21/2022,Realty One Group Supreme (RELTGRPS1),"$699,900 "
PAPH2141550,MUL,ACT,4737 N Broad St,Philadelphia,"Philadelphia, PA",3,Other,7/19/2022,"Tesla Realty Group, LLC (55893)","$295,000 "
PAPH2138570,MUL,ACT,4524-26 Frankford Ave,Philadelphia,"Philadelphia, PA",4,Other,7/19/2022,Keller Williams Philadelphia (KELWLMCC),"$459,000 "
PAPH2140542,MUL,ACT,1805 Fairmount Ave,Philadelphia,"Philadelphia, PA",3,Quadruplex,7/28/2022,"Compass Pennsylvania, LLC (COMPASS1)","$1,078,900 "
PADE2030210,MUL,ACT,934 11th Ave,Prospect Park,"Delaware, PA",1,Quadruplex,7/18/2022,KW Commercial (55911),"$395,000 "
PAPH2138548,MUL,ACT,1429 W Venango St,Philadelphia,"Philadelphia, PA",4,Other,7/14/2022,Keller Williams Philly (55962),"$475,000 "
PAPH2139750,MUL,ACT,3400 Henry Ave,Philadelphia,"Philadelphia, PA",1,Other,7/15/2022,Pappas Realty (PAPPAS),"$424,900 "
PAPH2139054,MUL,ACT,1900 Brunner St,Philadelphia,"Philadelphia, PA",4,Other,7/14/2022,BHHS Fox&Roach-Newtown Square (61032),"$184,999 "
PAPH2137976,MUL,ACT,1826 W Diamond St,Philadelphia,"Philadelphia, PA",4,Quadruplex,7/11/2022,"Volzer Virtual Realty, LLC (VOLZERVR1)","$625,000 "
PAPH2136232,MUL,ACT,6651 Blakemore St,Philadelphia,"Philadelphia, PA",4,Quadruplex,7/3/2022,"Frink Realty, LLC (FRINK1)","$265,000 "
PAPH2136118,MUL,ACT,135 W Cumberland St,Philadelphia,"Philadelphia, PA",1,Other,7/6/2022,Keller Williams Philadelphia (KELWLMCC),"$425,000 "
PAPH2134756,MUL,ACT,3028 W Dauphin St,Philadelphia,"Philadelphia, PA",4,Other,7/5/2022,BHHS Fox & Roach-Center City Walnut (61039),"$479,000 "
PADE2029502,MUL,ACT,2614 Cisco Ct,Brookhaven,"Delaware, PA",4,Quadruplex,7/7/2022,Coldwell Banker Realty (CBPREMED),"$425,000 "
PAPH2134968,MUL,ACT,3211 Baring St,Philadelphia,"Philadelphia, PA",1,Other,7/1/2022,New Age Realty Group Inc (NEWAGE),"$525,000 "
PAPH2134956,MUL,ACT,3209 Baring St,Philadelphia,"Philadelphia, PA",1,Other,7/1/2022,New Age Realty Group Inc (NEWAGE),"$925,000 "
PAPH2132978,MUL,ACT,2024-26 E Fletcher St,Philadelphia,"Philadelphia, PA",1,Other,7/1/2022,Keller Williams Philly (55962),"$1,799,900 "
PAPH2127736,MUL,ACT,1625-27 Point Breeze Ave,Philadelphia,"Philadelphia, PA",1,Other,6/29/2022,Keller Williams Philadelphia (KELWLMCC),"$1,100,000 "
PADE2029178,MUL,ACT,24-26 W Greenwood Ave,Lansdowne,"Delaware, PA",1,Other,6/28/2022,Keller Williams Main Line (KELWLMML),"$695,000 "
PAPH2133192,MUL,ACT,4054-1/2 Lancaster Ave,Philadelphia,"Philadelphia, PA",3,Other,7/4/2022,Keller Williams Realty - Cherry Hill (KELWLM-M),"$275,000 "
PAPH2116246,MUL,ACT,4337-39 Frankford Ave,Philadelphia,"Philadelphia, PA",1,Quadruplex,6/21/2022,20/20 Real Estate (2020RE2),"$475,000 "
PAPH2128298,MUL,ACT,614 N Union St,Philadelphia,"Philadelphia, PA",4,Quadruplex,6/21/2022,BHHS Fox & Roach-Center City Walnut (61039),"$1,600,000 "
PADE2028408,MUL,ACT,351 S Springfield Rd,Clifton Heights,"Delaware, PA",1,Other,6/17/2022,Premier Property Sales & Rentals (PRUSPRI),"$374,900 "
PAPH2115926,MUL,ACT,5400 Walnut St,Philadelphia,"Philadelphia, PA",1,Other,6/15/2022,Compass RE (COMPASS2),"$2,000,000 "
PAPH2123996,MUL,ACT,5335 Knox St,Philadelphia,"Philadelphia, PA",4,Other,6/13/2022,BHHS Fox & Roach-Chestnut Hill (61010),"$1,200,000 "
PAPH2127770,MUL,ACT,8515 Frankford Ave,Philadelphia,"Philadelphia, PA",3,Other,6/20/2022,Space & Company (60000),"$360,000 "
PAPH2126580,MUL,ACT,3961 Baltimore Ave,Philadelphia,"Philadelphia, PA",3,Other,6/10/2022,New Age Realty Group Inc (NEWAGE),"$875,000 "
PAPH2126652,MUL,ACT,2099 Bridge St,Philadelphia,"Philadelphia, PA",4,Quadruplex,6/9/2022,RE/MAX Preferred - Cherry Hill (RMPRECH),"$449,000 "
PAPH2124864,MUL,ACT,4028 Market St,Philadelphia,"Philadelphia, PA",4,Quadruplex,6/9/2022,Century 21 Forrester Real Estate (C21FOR),"$899,900 "
PAPH2126600,MUL,ACT,1855 N 22nd St,Philadelphia,"Philadelphia, PA",3,Other,6/9/2022,"Compass Pennsylvania, LLC (COMPASS1)","$425,000 "
PAPH2126428,MUL,ACT,1919 & 1909 S Broad St,Philadelphia,"Philadelphia, PA",4,Other,6/9/2022,Keller Williams Main Line (KELWLMML),"$1,750,000 "
PAPH2126128,MUL,ACT,315 N 62nd St,Philadelphia,"Philadelphia, PA",1,Other,6/8/2022,United Real Estate (UNTDRE),"$180,000 "
PAPH2125678,MUL,ACT,3110 Frankford Ave,Philadelphia,"Philadelphia, PA",4,Quadruplex,6/8/2022,Simple Choice Realty (SMPLCHCE),"$325,000 "
PAPH2125576,MUL,ACT,1116 W Lehigh Ave,Philadelphia,"Philadelphia, PA",4,Quadruplex,6/7/2022,Keller Williams Philly (55962),"$450,000 "
PAPH2125574,MUL,ACT,1236 W Lehigh Ave,Philadelphia,"Philadelphia, PA",2,Quadruplex,6/7/2022,Keller Williams Philly (55962),"$450,000 "
